GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "01000","Alabama",5,SAEXP2,7,"...","   Other durable goods","Dollars",247,266,292,305,302,325,330,354,372,396,430,421,416,430,454,460,472,491,501,500,500,511,521
 "01000","Alabama",5,SAEXP2,8,"...","  Nondurable goods","Dollars",4623,4656,4948,5200,5358,5532,5834,6237,6689,6995,7218,7464,7154,7417,7781,7908,7946,8099,8067,8015,8246,8548,8799
 "01000","Alabama",5,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1773,1784,1867,1870,1966,2017,2071,2134,2243,2216,2261,2334,2344,2353,2425,2457,2457,2521,2572,2610,2655,2743,2815
 "01000","Alabama",5,SAEXP2,10,"...","   Clothing and footwear","Dollars",813,833,852,855,849,869,848,881,919,928,926,909,877,903,928,926,933,949,967,978,976,1008,1028
 "01000","Alabama",5,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",558,482,529,685,638,595,699,822,997,1141,1205,1351,981,1164,1423,1440,1430,1344,1020,895,993,1099,1055
 "01000","Alabama",5,SAEXP2,12,"...","   Other nondurable goods","Dollars",1480,1557,1701,1790,1905,2051,2215,2399,2529,2711,2825,2870,2952,2997,3005,3084,3126,3284,3508,3532,3621,3698,3900
 "01000","Alabama",5,SAEXP2,13,"..."," Services","Dollars",10084,10586,11051,11667,12113,12712,13225,13855,14781,15324,15838,16422,16515,16913,17274,17673,18068,18731,19451,20241,20983,21785,22573
 "01000","Alabama",5,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",9900,10356,10770,11357,11795,12385,12927,13533,14460,15011,15472,15964,16067,16474,16813,17186,17567,18190,18944,19666,20378,21169,21995
 "01000","Alabama",5,SAEXP2,15,"...","   Housing and utilities","Dollars",2510,2651,2758,2925,3090,3198,3319,3461,3700,3886,4038,4185,4224,4395,4484,4576,4695,4906,5055,5294,5444,5655,5828
 "01000","Alabama",5,SAEXP2,16,"...","   Health care","Dollars",2856,2927,2967,3091,3286,3541,3695,3874,4240,4354,4413,4536,4694,4730,4793,4988,5077,5224,5455,5650,5827,6005,6296
 "01000","Alabama",5,SAEXP2,17,"...","   Transportation services","Dollars",480,502,523,541,533,524,533,552,581,594,598,593,556,573,596,602,608,637,653,686,730,757,781
 "01000","Alabama",5,SAEXP2,18,"...","   Recreation services","Dollars",750,739,740,744,755,784,812,858,891,916,933,959,951,971,967,982,1014,1039,1094,1157,1188,1230,1264
 "01000","Alabama",5,SAEXP2,19,"...","   Food services and accommodations","Dollars",960,994,1049,1079,1099,1135,1212,1279,1370,1447,1506,1558,1562,1602,1654,1717,1806,1909,2052,2163,2264,2357,2441
 "01000","Alabama",5,SAEXP2,20,"...","   Financial services and insurance","Dollars",1088,1243,1412,1595,1574,1685,1774,1877,2003,2084,2239,2350,2293,2388,2458,2463,2465,2485,2578,2594,2714,2846,2962
 "01000","Alabama",5,SAEXP2,21,"...","   Other services","Dollars",1255,1301,1321,1381,1459,1519,1582,1632,1676,1730,1744,1783,1787,1814,1862,1859,1901,1989,2058,2122,2210,2318,2421
 "01000","Alabama",5,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",183,230,281,309,318,327,298,322,321,313,366,458,448,440,461,487,501,541,506,575,605,616,578
 "01000","Alabama",5,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1447,1545,1660,1754,1832,1941,1968,2128,2264,2338,2534,2655,2719,2780,2850,2926,3009,3079,3171,3305,3446,3583,3730
 "01000","Alabama",5,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1264,1314,1379,1444,1514,1614,1670,1806,1944,2025,2167,2197,2271,2340,2389,2439,2508,2538,2664,2730,2840,2967,3151
 "02000","Alaska",8,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",22512,23350,24671,26400,27812,29470,31014,32481,34205,35609,37054,38532,38355,38998,40677,41741,42178,43760,44763,45431,47123,48990,50701
 "02000","Alaska",8,SAEXP2,2,"..."," Goods","Dollars",8354,8508,8993,9282,9515,10047,10540,11147,11599,11936,12361,12641,12014,12190,12665,12846,12797,13019,12849,12653,12922,13350,13762
 "02000","Alaska",8,SAEXP2,3,"...","  Durable goods","Dollars",2749,2883,3051,3082,3222,3566,3716,3982,4088,4074,4148,4001,3799,3772,3810,3956,3994,4116,4224,4227,4342,4484,4670
 "02000","Alaska",8,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",936,1012,1136,1183,1252,1401,1418,1424,1341,1234,1220,1049,1009,1009,1012,1094,1138,1171,1240,1214,1240,1228,1227
 "02000","Alaska",8,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",590,607,626,637,676,768,803,851,926,941,946,968,924,916,926,946,956,1011,1039,1039,1060,1117,1186
 "02000","Alaska",8,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",855,884,880,850,892,983,1056,1236,1327,1376,1433,1441,1360,1340,1345,1380,1366,1379,1366,1386,1434,1506,1604
 "02000","Alaska",8,SAEXP2,7,"...","   Other durable goods","Dollars",369,379,409,413,402,414,439,471,494,524,549,544,507,506,527,536,534,555,578,587,608,634,653
