GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20298,21295,22490,23953,24781,25514,26603,28028,29579,31014,32198,32781,32054,32903,34124,35044,35790,37118,38331,39521,41028,42802,44276
 "00000","United States", ,SAEXP2,2,"..."," Goods","Dollars",7349,7633,8184,8682,8850,9021,9366,9891,10412,10836,11153,11034,10337,10699,11261,11563,11779,12111,12212,12359,12817,13351,13712
 "00000","United States", ,SAEXP2,3,"...","  Durable goods","Dollars",2624,2825,3066,3234,3304,3426,3508,3690,3819,3882,3944,3613,3299,3391,3510,3646,3764,3902,4078,4181,4341,4535,4674
 "00000","United States", ,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1075,1161,1257,1287,1345,1395,1384,1398,1387,1324,1330,1129,1039,1114,1172,1264,1321,1389,1483,1504,1550,1602,1590
 "00000","United States", ,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",589,629,685,738,754,785,811,869,918,950,941,869,777,779,792,809,834,868,918,958,999,1051,1089
 "00000","United States", ,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",641,694,756,818,824,851,894,973,1037,1094,1126,1079,970,965,980,994,1018,1037,1049,1088,1151,1221,1320
 "00000","United States", ,SAEXP2,7,"...","   Other durable goods","Dollars",320,341,368,391,380,394,419,451,477,514,547,536,514,533,565,579,591,609,629,631,640,661,675
 "00000","United States", ,SAEXP2,8,"...","  Nondurable goods","Dollars",4725,4808,5118,5447,5546,5595,5858,6201,6593,6954,7209,7421,7037,7308,7751,7917,8015,8209,8134,8178,8476,8816,9038
 "00000","United States", ,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1741,1767,1848,1916,1979,1999,2067,2160,2261,2347,2448,2529,2520,2544,2630,2696,2734,2818,2872,2910,2985,3057,3125
 "00000","United States", ,SAEXP2,10,"...","   Clothing and footwear","Dollars",908,935,972,995,975,969,983,1016,1051,1073,1074,1044,991,1024,1067,1100,1109,1133,1150,1165,1169,1207,1229
 "00000","United States", ,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",542,480,525,654,625,584,677,795,960,1071,1147,1286,936,1089,1328,1344,1324,1267,965,852,951,1069,1022
 "00000","United States", ,SAEXP2,12,"...","   Other nondurable goods","Dollars",1534,1626,1774,1882,1967,2042,2130,2230,2321,2463,2541,2562,2591,2652,2725,2776,2848,2991,3147,3251,3371,3482,3662
 "00000","United States", ,SAEXP2,13,"..."," Services","Dollars",12948,13662,14306,15271,15932,16493,17237,18137,19167,20178,21045,21747,21717,22203,22863,23481,24011,25007,26118,27162,28211,29451,30564
 "00000","United States", ,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",12561,13214,13811,14711,15303,15804,16528,17432,18456,19376,20219,20802,20774,21252,21862,22393,22895,23859,24960,25921,26929,28108,29226
 "00000","United States", ,SAEXP2,15,"...","   Housing and utilities","Dollars",3704,3862,4025,4248,4518,4637,4806,5017,5359,5638,5837,6036,6121,6155,6278,6361,6504,6754,7042,7303,7568,7868,8168
 "00000","United States", ,SAEXP2,16,"...","   Health care","Dollars",2901,3016,3095,3255,3497,3765,3978,4231,4469,4665,4907,5115,5322,5494,5640,5803,5881,6097,6416,6704,6918,7178,7467
 "00000","United States", ,SAEXP2,17,"...","   Transportation services","Dollars",777,816,865,926,912,876,895,926,961,996,1021,1028,969,987,1054,1087,1139,1203,1243,1299,1355,1429,1473
 "00000","United States", ,SAEXP2,18,"...","   Recreation services","Dollars",764,798,853,902,920,944,996,1064,1110,1177,1247,1279,1266,1305,1313,1373,1415,1466,1533,1605,1657,1720,1768
 "00000","United States", ,SAEXP2,19,"...","   Food services and accommodations","Dollars",1260,1312,1363,1449,1473,1517,1595,1702,1806,1912,1997,2039,1997,2055,2149,2246,2317,2441,2598,2704,2812,2942,3045
 "00000","United States", ,SAEXP2,20,"...","   Financial services and insurance","Dollars",1500,1617,1743,1924,1845,1859,1931,2068,2230,2329,2447,2488,2319,2439,2561,2613,2716,2853,2986,3047,3238,3427,3583
 "00000","United States", ,SAEXP2,21,"...","   Other services","Dollars",1656,1792,1867,2008,2139,2207,2328,2425,2521,2659,2763,2817,2780,2816,2867,2909,2923,3045,3141,3259,3381,3545,3722
 "00000","United States", ,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",387,449,495,560,628,690,708,705,712,802,826,945,943,952,1001,1088,1116,1149,1159,1241,1282,1343,1338
 "00000","United States", ,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1843,1967,2065,2203,2374,2563,2670,2797,2939,3124,3264,3444,3548,3649,3767,3940,4025,4155,4314,4540,4687,4888,5051
 "00000","United States", ,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1456,1518,1570,1643,1745,1873,1962,2092,2227,2323,2438,2499,2605,2697,2766,2852,2909,3006,3155,3300,3405,3545,3714
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
